,title,authors,manufacturer,rank,price,currency,reldate,page,language
B006ZBWV0K,"Verso Prologue Cover for Kindle, Tan (fits Kindle Paperwhite, Kindle, and Kindle Touch)",,Rejects from Studios,,3499,USD,2013-01-01,,
B0076D0ZRM,100 Heartwarming Stories From The Animal Rescue Site,,GreaterGood Network Publishing,702425,,,2012-02-06,103,English
B0079UAT0A,Moshi iVisor AG Screen Protection for Kindle Fire (Anti-Glare) - Bubble Free Installation (will not fit HD or HDX models),,Moshi,,,,,,
B007A3ANUC,30 Delicious No-Bake Icebox Cookie Recipes,,,748290,,,2012-02-15,109,English
B007R5YDYA,"Amazon Kindle Paperwhite Leather Case, Saddle Tan - fits all Paperwhite generations",,"Amazon Digital Services, Inc",,,,2012-10-01,,
B007R5YGO2,"Amazon Kindle Paperwhite Leather Case, Fuschia - fits all Paperwhite generations",,"Amazon Digital Services, Inc",,3999,USD,2012-10-01,,
B007RHWU6Q,Kindle Fire Flipblade Stand by Belkin,,Belkin Inc.,,,,,,
B007VL8Y5E,Grace Digital MatchStick (GDI-GFD7200) Charging Speaker Dock for Kindle Fire - Portrait and Landscape Modes,,Grace Digital,,,,,,
B007W4NUX6,Quotes for Cats: And the Humans Who Love Them,,,1642445,,,2012-04-19,193,English
B00825BZUY,"Amazon Kindle Fire HD 8.9"" Standing Leather Case, Onyx Black (will not fit HDX models)",,"Amazon Digital Services, Inc",,,,2012-11-02,,
B008681Y30,"2-Year Protection Plan plus Accident Protection for Kindle Fire HD 8.9"" 4G",,Service Net,,,,2012-11-20,,
B0086824IE,2-Year Protection Plan plus Accident Coverage for Kindle Fire (Previous Generation),,Service Net,,,,2012-09-14,,
B008682C9U,"2-Year Protection Plan plus Accident Protection for Kindle Fire HD 8.9""",,Service Net,,,,2012-11-01,,
B008864T5U,Jokes By Kids: Volume 1,,Feldman Publishing,947535,,,2012-05-31,128,English
B008GEA2CS,Explicit Encounters - Sex When You Shouldn't (Xcite Best-Selling Collections Book 3),,Xcite Books,1029556,,,2012-06-29,208,English
B008GGH4FY,"Amazon Kindle Fire HD 7"" (Previous Generation) Standing Leather Case, Onyx Black (will only fit Kindle Fire HD 7"", Previous Generation) - will not fit new Fire HD 7",,"Amazon Digital Services, Inc",,,,2012-09-14,,
B008GGH5HQ,"Amazon Kindle Fire HD 7"" (Previous Generation) Standing Leather Case, Fuchsia (will only fit Kindle Fire HD 7"", Previous Generation)",,"Amazon Digital Services, Inc",,,,2012-09-14,,
B008HJGPVO,AmazonBasics Capacitive Stylus for Touchscreen Devices - Black,,AmazonBasics,10524,796,USD,,,
B008PWUO4W,"BUILT Kindle Slim Folio Case, Lush Flower, fits Kindle Paperwhite, Touch, and Kindle",,Built (Kindle Accessories),,,,,,
B008S2D7K2,"iHome iK50B SMARTDESIGN Space Saver FM Stereo Alarm Clock/Charger for Kindle Fire, Black",,"Sound Design, Inc.",,,,,,
B008ULPD0S,"Verso Trends Versailles Damask Case for Kindle Fire HD 7"" (Previous Generation) (will only fit Kindle Fire HD 7"", Previous Generation)",,Rejects from Studios,,,,2012-09-14,,
B008UT34I8,"Moshi Dulcia In-Ear Headphones, Black",,Moshi,,4995,USD,,,
B008X9ZBVI,"Belkin Glam Tab Standing Case for Kindle Fire HD 7"" (Previous Generation), Black (will only fit Kindle Fire HD 7"", Previous Generation)",,Belkin Inc.,,,,2012-09-14,,
B00902NYU2,GENENE JONES: SERIAL KILLER: CODE BLUE EMERGENCY (TRUE CRIME; BUS STOP READS Book 20),,Goldmineguides.com,541919,,,2013-12-13,32,English
B00902SFC4,"Marware Capacitive Stylus for Kindle Fire, Kindle Paperwhite and other Touchscreen Devices, Black",,Marware,,999,USD,,,
B00902SJY8,Marware Anti-Scratch Screen Protector Kit for Kindle Fire HD 7 (Anti-Scratch),,Marware,,,,,,
B0093HL028,Backwoods Home Magazine #120 - Nov/Dec 2009,,Backwoods Home Magazine,1321858,,,2009-11-01,244,English
B009700HQQ,Backwoods Home Magazine #123 - May/June 2010,,Backwoods Home Magazine,1929796,,,2010-05-01,165,English
B009875PZ6,Mixed Metaphor Madness Volume 1: Real Sayings by Real People From Real Meetings,,,1670332,,,2012-09-08,18,English
B009DWBGOK,Backwoods Home Magazine #130 - Jul/Aug 2011,,Backwoods Home Magazine,1487688,,,2011-07-01,175,English
B009GCF4RW,"Let's Talk Turkey . . . And All the Trimmings: 100 Delicious Holiday Recipes, Tips, and Ideas from America's Top Magazines",,Hearst,366133,,,2012-10-23,235,English
B009GU8B3S,Kindle Paperwhite Skin Kit/Decal - Abolisher - Vincent Hie,,Decalgirl - Consignment (Kindle Accessories),,,,2012-10-01,,
B009GU8J62,Kindle Paperwhite Skin Kit/Decal - Before The Storm - Iveta Abolina,,Decalgirl - Consignment (Kindle Accessories),,,,2012-10-01,,
B009GU9I3U,"Kindle Fire HD 8.9"" Skin Kit/Decal - Annabelle (will not fit HDX models)",,Decalgirl - Consignment (Kindle Accessories),,,,2012-11-01,,
B009HF6D7S,Backwoods Home Magazine #131 - Sept/Oct 2011,,Backwoods Home Magazine,406481,,,2011-09-01,176,English
B009IZMTJI,"Tribeca Genuine Wood Ear Buds for Kindle Fire, Bubinga",,Tribeca - Licensed Sports,,,,,,
B009IZMUEC,"Tribeca Genuine Wood Performance Headphones for Kindle Fire, Ebony",,Tribeca - Licensed Sports,,,,,,
B009IZMV6O,"Tribeca Genuine Wood Performance Headphones for Kindle Fire, Bubinga",,Tribeca - Licensed Sports,,,,,,
B009IZMVT6,"Tribeca Genuine Wood Performance Headphones, Maple",,Tribeca - Licensed Sports,,,,,,
B009IZMWEU,"Tribeca Genuine Wood Studio Headphones, Bubinga",,Tribeca - Licensed Sports,,8399,USD,,,
B009K44MMO,"Good Eating's Quick Breads: A Collection of Convenient and Unique Recipes for Muffins, Scones, Loaves and More",,Agate Digital,1748346,,,2012-10-02,99,English
B009KQ32C8,Backwoods Home Magazine #121 - Jan/Feb 2010,,Backwoods Home Magazine,1702353,,,2010-01-01,189,English
B009N8WB5M,Backwoods Home Magazine #117 - May/June 2009,,Backwoods Home Magazine,915679,,,2009-05-01,227,English
B009NHWVIA,"Moshi iVisor XT (HD clear) No-Bubble Screen Protector for Kindle Fire HD 7"" (Previous Generation)",,Moshi,,,,,,
B009NTEDT8,True Crime: 8 Tales of Murder & Mayham (True Stories by Reader's Digest Book 1),,RDA Digital LLC,580243,,,2012-10-08,64,English
B009NZWEA2,Belkin Mod Standing Cover for Kindle Fire (will not fit HD models),,Belkin Inc.,,,,2012-09-14,,
B009OSRAJI,Backwoods Home Magazine #122 - Mar/Apr 2010,,Backwoods Home Magazine,1298407,,,2010-03-01,172,English
B009P4M0ZK,Backwoods Home Magazine #124 - July/Aug 2010,,Backwoods Home Magazine,562215,,,2010-07-01,173,English
B009P7PSPQ,300-Calorie Meals--Dinner: 30 Days of Low-Calorie Recipes for Health and Weight Loss (Simply Svelte: 30 Days to Thin),,Simply Svelte,278763,,,2012-10-10,40,English
B009P7PU0Y,300-Calorie Meals--Breakfast:  30 Days of Low-Calorie Recipes for Health and Weight Loss (Simply Svelte: 30 Days to Thin),,Simply Svelte,1265962,,,2012-10-10,32,English
B009RESZ6G,50 Nifty Holiday Recipes,,Davis Virtual Assistance,2341666,,,2013-03-31,40,English
B009RH973I,"Marware MicroShell Folio Lightweight Standing Case for Kindle Fire HD 7"" (Previous Generation), Pink (only fits Kindle Fire HD 7"", Previous Generation)",,MarBlue (Kindle Accessories),,,,,,
B009RH9FR6,"Marware Revolve Genuine Leather Rotating, Standing Case for Kindle Fire HD 7"" (Previous Generation), Black (only fits Kindle Fire HD 7"", Previous Generation)",,MarBlue (Kindle Accessories),,,,,,
B009SF5G5M,Backwoods Home Magazine #126 - Nov/Dec 2010,,Backwoods Home Magazine,352322,,,2010-11-01,175,English
B009THH3OQ,Backwoods Home Magazine #129 - May/June 2011,,Backwoods Home Magazine,1536104,,,2011-05-01,173,English
B009UMTMJO,12 Real Life Inspirational Angel S.O.S Stories. Miracles can happen! (Help Me Angels Book 3),,,837359,,,2012-10-21,35,English
B009VNMY2Y,120 Speaking Topics with Sample Answers,,LIKE Test Prep,579550,,,2012-10-22,159,English
B009X01C64,"Marware Revolve Portrait and Landscape Standing Case for Kindle Fire HD 8.9"", Black (will not fit HDX models)",,MarBlue (Kindle Accessories),,,,,,
B00A0XV6GE,"iHome Portable, Rechargeable Bluetooth Stereo Speaker System with 3.5mm Headphone/Audio Jack, Black and Red",,"Sound Design, Inc.",,,,,,
B00A2XKNO8,OtterBox Defender Series for Kindle Fire HD 8.9 (Black),,OtterBox,,,,,,
B00A3K44BS,AILEEN WUORNUS::DAMSEL FOR SALE: A Tragic Tale Of A Female Serial Killer (TRUE CRIME; BUS STOP READS Book 18),,Goldmineguides.com,,,,2013-12-31,96,English
B00A3YDWW6,"BUILT Neoprene Sleeve Case for Kindle Fire HD 8.9-Inch, Lush Flower (will not fit HDX)",,Built (Kindle Accessories),,,,2012-11-01,,
B00A59EWG4,DOROTHEA HELEN PUENTE- SERIAL KILLER: BED & BOARD; (TRUE CRIME; BUS STOP READS Book 19),,Goldmineguides.com,934187,,,2013-12-12,30,English
